1571474393700|11|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false|select 1|select 1
1571474393713|0|statement|connection 1|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false|select 1|select 1
1571474393721|0|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false|select 1|select 1
1571474399442|1|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false|select visits0_.id as id1_8_, visits0_.create_time as create_t2_8_, visits0_.date as date3_8_, visits0_.ip_counts as ip_count4_8_, visits0_.pv_counts as pv_count5_8_, visits0_.week_day as week_day6_8_ from visits visits0_ where visits0_.date=?|select visits0_.id as id1_8_, visits0_.create_time as create_t2_8_, visits0_.date as date3_8_, visits0_.ip_counts as ip_count4_8_, visits0_.pv_counts as pv_count5_8_, visits0_.week_day as week_day6_8_ from visits visits0_ where visits0_.date='2019-10-19'
1571474406194|0|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false|SELECT  id,group_name,add_time,sort,value,status  FROM yx_system_group_data     WHERE (group_name = ?)|SELECT  id,group_name,add_time,sort,value,status  FROM yx_system_group_data     WHERE (group_name = 'routine_home_banner')
1571474406203|0|commit|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false||
1571474406207|0|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false|SELECT  id,group_name,add_time,sort,value,status  FROM yx_system_group_data     WHERE (group_name = ?)|SELECT  id,group_name,add_time,sort,value,status  FROM yx_system_group_data     WHERE (group_name = 'routine_home_menus')
1571474406208|0|commit|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false||
1571474406211|0|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false|SELECT  id,group_name,add_time,sort,value,status  FROM yx_system_group_data     WHERE (group_name = ?)|SELECT  id,group_name,add_time,sort,value,status  FROM yx_system_group_data     WHERE (group_name = 'routine_home_activity')
1571474406212|0|commit|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false||
1571474406219|0|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false|SELECT  id,menu_name,sort,value,status  FROM yx_system_config     WHERE (menu_name = ?)|SELECT  id,menu_name,sort,value,status  FROM yx_system_config     WHERE (menu_name = 'wechat_logo')
1571474406220|0|commit|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false||
1571474406233|2|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false|SELECT  id,add_time,ot_price,mer_use,description,is_postage,is_best,sales,price,is_bargain,vip_price,store_name,stock,keyword,image,cost,is_good,unit_name,is_benefit,give_integral,is_new,sort,slider_image,is_show,bar_code,postage,soure_link,code_path,cate_id,is_seckill,mer_id,ficti,store_info,is_del,is_hot,browse  FROM yx_store_product     WHERE (is_del = ? AND is_show = ? AND is_best = ?) ORDER BY sort DESC|SELECT  id,add_time,ot_price,mer_use,description,is_postage,is_best,sales,price,is_bargain,vip_price,store_name,stock,keyword,image,cost,is_good,unit_name,is_benefit,give_integral,is_new,sort,slider_image,is_show,bar_code,postage,soure_link,code_path,cate_id,is_seckill,mer_id,ficti,store_info,is_del,is_hot,browse  FROM yx_store_product     WHERE (is_del = 0 AND is_show = 1 AND is_best = 1) ORDER BY sort DESC
1571474406237|0|commit|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false||
1571474406241|1|statement|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false|SELECT  id,add_time,ot_price,mer_use,description,is_postage,is_best,sales,price,is_bargain,vip_price,store_name,stock,keyword,image,cost,is_good,unit_name,is_benefit,give_integral,is_new,sort,slider_image,is_show,bar_code,postage,soure_link,code_path,cate_id,is_seckill,mer_id,ficti,store_info,is_del,is_hot,browse  FROM yx_store_product     WHERE (is_del = ? AND is_show = ? AND is_benefit = ?) ORDER BY sort DESC|SELECT  id,add_time,ot_price,mer_use,description,is_postage,is_best,sales,price,is_bargain,vip_price,store_name,stock,keyword,image,cost,is_good,unit_name,is_benefit,give_integral,is_new,sort,slider_image,is_show,bar_code,postage,soure_link,code_path,cate_id,is_seckill,mer_id,ficti,store_info,is_del,is_hot,browse  FROM yx_store_product     WHERE (is_del = 0 AND is_show = 1 AND is_benefit = 1) ORDER BY sort DESC
1571474406244|0|commit|connection 2|url jdbc:p6spy:mysql://localhost:3306/yxshop?serverTimezone=Asia/Shanghai&characterEncoding=utf8&useSSL=false||
